date,Adj Close,Close,High,Low,Open,Volume,daily_return,rolling_volatility,sma_20,sma_50,ema_20,rsi_14,best_strategy
2000-03-14,86.32001495361328,136.625,140.09375,136.15625,139.28125,8263900.0,-0.0142055838295427,0.0144925678920683,86.9957462310791,88.76371047973633,87.5285132781278,50.13283412130626,momentum
2000-03-15,88.33390045166016,139.8125,140.4375,136.0625,136.875,10300800.0,0.0233304581692797,0.0152563755915926,86.95576553344726,88.69263381958008,87.60521681846421,62.51614684408547,momentum
2000-03-16,92.46034240722656,146.34375,146.84375,140.875,141.625,25601400.0,0.0467141373183737,0.0181233271278961,87.1877571105957,88.77595291137695,88.06760973167967,71.68126711068109,momentum
2000-03-17,93.07140350341795,146.9375,148.0,145.4375,145.8125,10272900.0,0.0066088993430293,0.0180442296124312,87.4730052947998,88.86833480834962,88.54416151946427,69.84299985690646,momentum
2000-03-20,92.59635925292967,146.1875,147.34375,144.78125,146.875,12502300.0,-0.0051040838819071,0.0172128027119731,87.82828559875489,88.97964614868164,88.93008511312763,66.50918715481234,momentum
2000-03-21,94.49654388427734,149.1875,149.75,144.5,145.53125,13612600.0,0.0205211592192007,0.0175116374516788,88.2894344329834,89.02787231445312,89.46022404371331,68.77816622038102,momentum
2000-03-22,95.07061004638672,150.09375,150.84375,148.6875,149.5625,8260000.0,0.0060749963809512,0.0174461567727507,88.72893905639648,89.08126251220703,89.9945465201584,69.61377656118998,momentum
2000-03-23,96.6937484741211,152.65625,153.46875,149.15625,149.15625,11654500.0,0.0170729779365297,0.016586695703678,89.33647155761719,89.18922927856445,90.63256575386912,69.58909992712539,momentum
2000-03-24,97.26774597167967,153.5625,155.75,151.71875,152.875,11462900.0,0.0059362420695914,0.016405377994321,89.98800621032714,89.32684020996093,91.2644876793749,73.70551975117341,momentum
2000-03-27,96.2384796142578,151.9375,153.78125,151.8125,153.375,8798600.0,-0.0105817848161254,0.0165422269227437,90.49972534179688,89.41938217163086,91.7382011969828,76.4464520293768,momentum
2000-03-28,95.68421173095705,151.0625,152.984375,150.59375,151.25,6334400.0,-0.0057593167049434,0.0167099125594709,90.94226608276368,89.47596176147461,92.11401172402796,74.62383215331104,momentum
2000-03-29,95.78319549560548,151.21875,152.484375,149.65625,151.5625,6747500.0,0.001034483775931,0.0167233679725863,91.35816764831544,89.54913223266601,92.46345779751154,70.83542061843687,momentum
2000-03-30,94.17984008789062,148.6875,151.921875,147.125,150.15625,9491900.0,-0.0167394228123075,0.0173834197104496,91.6909408569336,89.57522888183594,92.62692277754763,66.2360230140553,momentum
